mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
MCP6001T-I/OT,MCP6001TIOT,Microchip Technology,Microchip Technology,mcp6001tiot,Microcontroller,Microcontroller,MCP6001/2/4 系列运算放大器专门为通用应用而设计。该系列的增益带宽积（GBWP）为 1 MHz，相位裕度典型值为 90°。在连接 500 pF 容性负载时，其相位裕度典型值仍能保持在 45°,,,{},active,,,,
MCP6002T-I/SN,MCP6002TISN,Microchip Technology,Microchip Technology,mcp6002tisn,Microcontroller,Microcontroller,双低功耗轨对轨运算放大器,,,{},active,,,,
TJA1051T/3/1J,TJA1051T31J,NXP Semiconductors,NXP Semiconductors,tja1051t31j,Microcontroller,Microcontroller,TJA1051是一款高速CAN收发器，用于在控制器局域网（CAN）协议控制器与物理双线CAN总线之间提供接口。该收发器专为汽车行业的高速CAN应用而设计，可为带有CAN协议控制器的微控制器提供差分发送和接收功能,,,{},active,,,,
"TJA1050T/CM,118",TJA1050TCM118,NXP Semiconductors,NXP Semiconductors,tja1050tcm118,Microcontroller,Microcontroller,是控制器局域网（CAN）协议控制器和物理总线之间的接口。主要用于高速汽车应用，波特率从60 kbaud到1 Mbaud。为总线提供差分传输能力，为CAN协议控制器提供差分接收能力。完全符合“ISO 11898”标准。,,,{},active,,,,
RC0402FR-0710KL,RC0402FR0710KL,Yageo,Yageo,rc0402fr0710kl,Resistor,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,{},active,,,,
RC0603FR-0710KL,RC0603FR0710KL,Yageo,Yageo,rc0603fr0710kl,Resistor,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,{},active,,,,
CRCW060310K0FKEA,CRCW060310K0FKEA,Vishay Intertechnology,Vishay Intertechnology,crcw060310k0fkea,Resistor,Resistor,标准厚膜贴片电阻适用于对高可靠性和稳定性有较高要求的现代电子领域。,,,{},active,,,,
SI2301CDS-T1-GE3,SI2301CDST1GE3,Vishay Intertechnology,Vishay Intertechnology,si2301cdst1ge3,MOSFET,MOSFET,特性：无卤，符合IEC 61249-2-21定义。 TrenchFET功率MOSFET。 符合RoHS指令2002/95/EC。应用：负载开关,,,{},active,,,,
430300001,430300001,Molex,Molex,430300001,USB Connectors,USB Connectors,Micro-Fit 3.0 压接端子，母头，镀锡（Sn）磷青铜触点，24 - 20 AWG，卷装,,,{},active,,,,
532610471,532610471,Molex,Molex,532610471,USB Connectors,USB Connectors,间距1.25mm，PicoBlade PCB 排针，单排，直角，表面贴装，镀锡（Sn），摩擦锁，4 路，本色，卷带包装,,,{},active,,,,
