raw_name	canonical_brand
TI	Texas Instruments
Texas Instruments	Texas Instruments
Texas Instr.	Texas Instruments
Texas Instr	Texas Instruments
TEXAS INSTRUMENTS	Texas Instruments
TI Semiconductor	Texas Instruments
ST	STMicroelectronics
STMicroelectronics	STMicroelectronics
ST Micro	STMicroelectronics
STMicro	STMicroelectronics
SGS-THOMSON	STMicroelectronics
SGS Thomson	STMicroelectronics
ADI	Analog Devices
Analog Devices	Analog Devices
Analog Dev.	Analog Devices
Analog Devices Inc.	Analog Devices
AD	Analog Devices
Linear Technology	Analog Devices
LTC	Analog Devices
Infineon	Infineon Technologies
Infineon Technologies	Infineon Technologies
IFX	Infineon Technologies
Infineon Tech	Infineon Technologies
International Rectifier	Infineon Technologies
IR	Infineon Technologies
NXP	NXP Semiconductors
NXP Semiconductors	NXP Semiconductors
NXP Semi	NXP Semiconductors
Philips	NXP Semiconductors
Philips Semiconductors	NXP Semiconductors
Freescale	NXP Semiconductors
Freescale Semiconductor	NXP Semiconductors
Microchip	Microchip Technology
Microchip Technology	Microchip Technology
MCP	Microchip Technology
Microchip Tech	Microchip Technology
Renesas	Renesas Electronics
Renesas Electronics	Renesas Electronics
Renesas Elec.	Renesas Electronics
NEC Electronics	Renesas Electronics
NEC	Renesas Electronics
ON	ON Semiconductor
ON Semiconductor	ON Semiconductor
Onsemi	ON Semiconductor
ONSemi	ON Semiconductor
ON Semi	ON Semiconductor
Fairchild	ON Semiconductor
Fairchild Semiconductor	ON Semiconductor
Catalyst	ON Semiconductor
Vishay	Vishay Intertechnology
Vishay Intertechnology	Vishay Intertechnology
Vishay Siliconix	Vishay Intertechnology
Siliconix	Vishay Intertechnology
Vishay Dale	Vishay Intertechnology
Dale	Vishay Intertechnology
Vishay Sprague	Vishay Intertechnology
Sprague	Vishay Intertechnology
BC Components	Vishay Intertechnology
Vishay BC	Vishay Intertechnology
Draloric	Vishay Intertechnology
Vitramon	Vishay Intertechnology
Vishay Vitramon	Vishay Intertechnology
Murata	Murata Manufacturing
Murata Manufacturing	Murata Manufacturing
Murata Elec.	Murata Manufacturing
Murata Electronics	Murata Manufacturing
TDK	TDK Corporation
TDK Corporation	TDK Corporation
TDK Corp.	TDK Corporation
EPCOS	TDK Corporation
Nordic	Nordic Semiconductor
Nordic Semiconductor	Nordic Semiconductor
Nordic Semi	Nordic Semiconductor
Espressif	Espressif Systems
Espressif Systems	Espressif Systems
Espressif Tech	Espressif Systems
ESP	Espressif Systems
Samsung	Samsung Electronics
Samsung Electronics	Samsung Electronics
Samsung Electro-Mechanics	Samsung Electronics
Samsung Semi	Samsung Electronics
Winbond	Winbond Electronics
Winbond Electronics	Winbond Electronics
Winbond Elec.	Winbond Electronics
Macronix	Macronix International
Macronix International	Macronix International
MXIC	Macronix International
MX	Macronix International
Yageo	Yageo
Yageo Corp.	Yageo
Phycomp	Yageo
KEMET	KEMET Electronics
Kemet Electronics	KEMET Electronics
Kemet	KEMET Electronics
Arcotronics	KEMET Electronics
Bourns	Bourns
Bourns Inc.	Bourns
Bourns Incorporated	Bourns
Littelfuse	Littelfuse
Littel	Littelfuse
