mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
STM32F103C8T6,STM32F103C8T6,STMicroelectronics,STMicroelectronics,stm32f103c8t6,Microcontroller,Microcontroller,STM32 ARM Cortex-M3 72MHz 64KB LQFP48,,,"{""frequency_hz"": ""72MHz"", ""flash_bytes"": ""64KB"", ""ram_bytes"": ""20KB"", ""core"": ""ARM Cortex-M3"", ""voltage_v"": ""2.0-3.6V""}",active,,https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,,
CH32V003F4P6,CH32V003F4P6,WCH,WCH,ch32v003f4p6,Microcontroller,Microcontroller,CH32 RISC-V 48MHz 16KB,,,"{""frequency_hz"": ""48MHz"", ""flash_bytes"": ""16KB"", ""ram_bytes"": ""2KB"", ""core"": ""RISC-V"", ""voltage_v"": ""3.3-5V""}",active,,https://www.wch.cn/download/CH32V003DS0_PDF.html,,
STM8S003F3P6,STM8S003F3P6,STMicroelectronics,STMicroelectronics,stm8s003f3p6,Microcontroller,Microcontroller,STM8 8-bit 16MHz 8KB,,,"{""frequency_hz"": ""16MHz"", ""flash_bytes"": ""8KB"", ""ram_bytes"": ""1KB"", ""core"": ""STM8"", ""voltage_v"": ""2.95-5.5V""}",active,,https://www.st.com/resource/en/datasheet/stm8s003f3.pdf,,
AO3400A,AO3400A,Alpha & Omega Semiconductor,Alpha & Omega Semiconductor,ao3400a,MOSFET,MOSFET,AO3400 N-Ch 30V 4A SOT23,,,"{""vds_v"": ""30V"", ""vgs_th_v"": ""1.2V"", ""id_a"": ""4A"", ""rds_on_mohm"": ""50mΩ"", ""qg_nc"": ""6nC""}",active,,https://www.aosmd.com/products/mosfets/AO3400A,,
IRF540N,IRF540N,Infineon Technologies,Infineon Technologies,irf540n,MOSFET,MOSFET,IRF540N N-Ch 100V 33A TO220,,,"{""vds_v"": ""100V"", ""vgs_th_v"": ""2-4V"", ""id_a"": ""33A"", ""rds_on_mohm"": ""44mΩ""}",active,,https://www.infineon.com/dgdl/irf540n.pdf,,
STP55NF06L,STP55NF06L,STMicroelectronics,STMicroelectronics,stp55nf06l,MOSFET,MOSFET,STP55NF06L N-Ch 60V 55A,,,"{""vds_v"": ""60V"", ""id_a"": ""55A"", ""rds_on_mohm"": ""14mΩ""}",active,,https://www.st.com/resource/en/datasheet/stp55nf06l.pdf,,
2N7002,2N7002,ON Semiconductor,ON Semiconductor,2n7002,MOSFET,MOSFET,2N7002 N-Ch 60V 115mA SOT23,,,"{""vds_v"": ""60V"", ""vgs_th_v"": ""2.5V"", ""id_a"": ""0.115A""}",active,,https://www.onsemi.com/pdf/datasheet/nds7002a-d.pdf,,
SI2302,SI2302,Vishay Intertechnology,Vishay Intertechnology,si2302,MOSFET,MOSFET,SI2302 N-Ch 20V 3A SOT23,,,"{""vds_v"": ""20V"", ""id_a"": ""3A"", ""rds_on_mohm"": ""60mΩ""}",active,,https://www.vishay.com/docs/73277/si2302.pdf,,
RC0805JR-0710KL,RC0805JR0710KL,Yageo,Yageo,rc0805jr0710kl,Resistor,Resistor,10kΩ ±1% 0805 Thick Film,,,"{""resistance_ohm"": ""10kΩ"", ""tolerance"": ""±1%"", ""power_rating_w"": ""0.125W"", ""temperature_coeff"": ""±100ppm/°C""}",active,,https://www.yageo.com/products/resistors/,,
CC0603KRX7R7BB104,CC0603KRX7R7BB104,Yageo,Yageo,cc0603krx7r7bb104,Capacitor,Capacitor,100nF ±10% 50V X7R 0603,,,"{""capacitance_pf"": ""100nF"", ""voltage_rating_v"": ""50V"", ""tolerance"": ""±10%""}",active,,https://www.yageo.com/products/capacitors/,,
GRM188R71C104KA01,GRM188R71C104KA01,Murata Manufacturing,Murata Manufacturing,grm188r71c104ka01,Capacitor,Capacitor,100nF 50V X7R 0603,,,"{""capacitance_pf"": ""0.1uF"", ""voltage_rating_v"": ""50V""}",active,,https://www.murata.com,,
LQG15HN1N8S0M,LQG15HN1N8S0M,Murata Manufacturing,Murata Manufacturing,lqg15hn1n8s0m,Inductor,Inductor,1.8nH 0402 RF Inductor,,,"{""inductance_uh"": ""1.8nH""}",active,,https://www.murata.com,,
CC0805KKX7R7BB104,CC0805KKX7R7BB104,Yageo,Yageo,cc0805kkx7r7bb104,Capacitor,Capacitor,100nF X7R 0805,,,"{""capacitance_pf"": ""100nF"", ""voltage_rating_v"": ""50V""}",active,,https://www.yageo.com,,
0483740001,0483740001,Molex,Molex,0483740001,USB Connectors,USB Connectors,USB-C 16pin Receptacle,,,"{""positions"": ""16"", ""current_rating_a"": ""5A"", ""voltage_v"": ""20V""}",active,,https://www.molex.com,,
PZ254-1-40P,PZ254140P,Wurth Elektronik,Wurth Elektronik,pz254140p,Pin Header,Pin Header,2.54mm 1x40 Pin Header,,,"{""positions"": ""40"", ""pitch_mm"": ""2.54mm""}",active,,https://www.we-online.com,,
B4B-PH-K-S,B4BPHKS,JST,JST,b4bphks,Pin Header,Pin Header,JST PH 2.0mm 4-pin,,,"{""positions"": ""4"", ""pitch_mm"": ""2.0mm""}",active,,https://www.jst-mfg.com,,
10103594,10103594,Amphenol,Amphenol,10103594,USB Connectors,USB Connectors,Micro USB B 5-pin,,,"{""positions"": ""5"", ""current_rating_a"": ""1A""}",active,,https://www.amphenol.com,,
DF11-8DP-2DS,DF118DP2DS,Hirose Electric,Hirose Electric,df118dp2ds,Pin Header,Pin Header,Hirose 2.0mm 8-pin,,,"{""positions"": ""8"", ""pitch_mm"": ""2.0mm""}",active,,https://www.hirose.com,,
ESP-01S,ESP01S,Espressif Systems,Espressif Systems,esp01s,WiFi Modules,WiFi Modules,ESP8266 802.11b/g/n Module,,,"{""frequency_hz"": ""80MHz"", ""data_rate_bps"": ""72Mbps"", ""voltage_v"": ""3.0-3.6V""}",active,,https://www.espressif.com,,
