category_id,raw_name,canonical_name,parent,level,seo_slug,legacy_l1_slug,status,tier
CAT-0001,电容,Passive Components,,1,passive-components,passive-components,active,A
CAT-0002,贴片电容(MLCC),贴片电容(MLCC),电容,2,passive-components-mlcc,passive-components,active,B
CAT-0003,直插独石电容(MLCC),直插独石电容(MLCC),电容,2,passive-components-mlcc-431,passive-components,active,B
CAT-0004,贴片型铝电解电容,贴片型铝电解电容,电容,2,passive-components-lcsc-418,passive-components,active,B
CAT-0005,直插铝电解电容,直插铝电解电容,电容,2,passive-components-lcsc-315,passive-components,active,B
CAT-0006,牛角型电解电容,牛角型电解电容,电容,2,passive-components-lcsc-11182,passive-components,active,B
CAT-0007,螺栓型铝电解电容,螺栓型铝电解电容,电容,2,passive-components-lcsc-11164,passive-components,active,B
CAT-0008,钽电容,钽电容,电容,2,passive-components-lcsc-314,passive-components,active,B
CAT-0009,固态电容,固态电容,电容,2,passive-components-lcsc-927,passive-components,active,B
CAT-0010,安规电容,安规电容,电容,2,passive-components-lcsc-477,passive-components,active,B
CAT-0011,直插瓷片电容,直插瓷片电容,电容,2,passive-components-lcsc-430,passive-components,active,B
CAT-0012,超级电容器,超级电容器,电容,2,passive-components-lcsc-970,passive-components,active,B
CAT-0013,排容,排容,电容,2,passive-components-lcsc-11087,passive-components,active,B
CAT-0014,聚丙烯膜电容(CBB),聚丙烯膜电容(CBB),电容,2,passive-components-cbb,passive-components,active,B
CAT-0015,锂离子电容,锂离子电容,电容,2,passive-components-lcsc-13377,passive-components,active,B
CAT-0016,薄膜电容,薄膜电容,电容,2,passive-components-lcsc-982,passive-components,active,B
CAT-0017,可调电容,可调电容,电容,2,passive-components-lcsc-552,passive-components,active,B
CAT-0018,氧化铌电容,氧化铌电容,电容,2,passive-components-lcsc-11023,passive-components,active,B
CAT-0019,纸介质电容,纸介质电容,电容,2,passive-components-lcsc-11191,passive-components,active,B
CAT-0020,云母和PTFE电容,云母和PTFE电容,电容,2,passive-components-ptfe,passive-components,active,B
CAT-0021,硅电容,硅电容,电容,2,passive-components-lcsc-11193,passive-components,active,B
CAT-0022,固液混合铝电解电容器,固液混合铝电解电容器,电容,2,passive-components-lcsc-13478,passive-components,active,B
CAT-0023,盘式电容,盘式电容,电容,2,passive-components-lcsc-14292,passive-components,active,B
CAT-0024,电阻,Passive Components,,1,passive-components-308,passive-components,active,A
CAT-0025,贴片电阻,贴片电阻,电阻,2,passive-components-lcsc-439,passive-components,active,B
CAT-0026,插件电阻,插件电阻,电阻,2,passive-components-lcsc-11239,passive-components,active,B
CAT-0027,电流采样电阻/分流器,电流采样电阻/分流器,电阻,2,passive-components-lcsc-909,passive-components,active,B
CAT-0028,排阻,排阻,电阻,2,passive-components-lcsc-311,passive-components,active,B
CAT-0029,铝壳/瓷管电阻,铝壳/瓷管电阻,电阻,2,passive-components-lcsc-11081,passive-components,active,B
CAT-0030,可调电阻/电位器,可调电阻/电位器,电阻,2,passive-components-lcsc-520,passive-components,active,B
CAT-0031,NTC热敏电阻,NTC热敏电阻,可调电阻/电位器,3,passive-components-ntc,passive-components,active,B
CAT-0032,PTC热敏电阻,PTC热敏电阻,可调电阻/电位器,3,passive-components-ptc,passive-components,active,B
CAT-0033,光敏电阻,光敏电阻,可调电阻/电位器,3,passive-components-lcsc-551,passive-components,active,B
CAT-0034,压敏电阻,压敏电阻,可调电阻/电位器,3,passive-components-lcsc-482,passive-components,active,B
CAT-0035,连接器,Connectors & Electromechanical,,1,connectors-electromechanical,connectors,active,A
CAT-0036,线对板针座,线对板针座,连接器,2,connectors-electromechanical-lcsc-11068,connectors,active,B
CAT-0037,胶壳(线对板/线对线),胶壳(线对板/线对线),连接器,2,connectors-electromechanical-lcsc-11067,connectors,active,B
CAT-0038,胶壳端子,胶壳端子,连接器,2,connectors-electromechanical-lcsc-11070,connectors,active,B
CAT-0039,排针,排针,连接器,2,connectors-electromechanical-lcsc-644,connectors,active,B
CAT-0040,排母,排母,连接器,2,connectors-electromechanical-lcsc-645,connectors,active,B
CAT-0041,汽车连接器,汽车连接器,连接器,2,connectors-electromechanical-lcsc-11355,connectors,active,B
CAT-0042,IDC刺破式连接器(牛角/简牛),IDC刺破式连接器(牛角/简牛),连接器,2,connectors-electromechanical-idc,connectors,active,B
CAT-0043,Micro-Match 连接器,Micro-Match 连接器,连接器,2,connectors-electromechanical-micro-match,connectors,active,B
CAT-0044,FFC连接线(柔性扁平线缆),FFC连接线(柔性扁平线缆),连接器,2,connectors-electromechanical-ffc,connectors,active,B
CAT-0045,FFC/FPC连接器,FFC/FPC连接器,连接器,2,connectors-electromechanical-ffc-fpc,connectors,active,B
CAT-0046,板对板与背板连接器,板对板与背板连接器,连接器,2,connectors-electromechanical-lcsc-960,connectors,active,B
CAT-0047,DIN41612连接器,DIN41612连接器,连接器,2,connectors-electromechanical-din41612,connectors,active,B
CAT-0048,USB连接器,USB连接器,连接器,2,connectors-electromechanical-usb,connectors,active,B
CAT-0049,HDMI连接器,HDMI连接器,连接器,2,connectors-electromechanical-hdmi,connectors,active,B
CAT-0050,DisplayPort(DP)连接器,DisplayPort(DP)连接器,连接器,2,connectors-electromechanical-displayport-dp,connectors,active,B
CAT-0051,D-Sub/VGA连接器,D-Sub/VGA连接器,连接器,2,connectors-electromechanical-d-sub-vga,connectors,active,B
CAT-0052,DVI连接器,DVI连接器,连接器,2,connectors-electromechanical-dvi,connectors,active,B
CAT-0053,IEEE 1394/火线连接器,IEEE 1394/火线连接器,连接器,2,connectors-electromechanical-ieee-1394,connectors,active,B
CAT-0054,插拔式接线端子,插拔式接线端子,连接器,2,connectors-electromechanical-lcsc-11071,connectors,active,B
CAT-0055,螺钉式接线端子,螺钉式接线端子,连接器,2,connectors-electromechanical-lcsc-11140,connectors,active,B
CAT-0056,弹簧式接线端子,弹簧式接线端子,连接器,2,connectors-electromechanical-lcsc-432,connectors,active,B
CAT-0057,栅栏式接线端子,栅栏式接线端子,连接器,2,connectors-electromechanical-lcsc-11073,connectors,active,B
