slug,mpn,legacy_pdf_url,key_type
stm32f103c8t6,STM32F103C8T6,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/stm32f103c8t6.pdf,MPN_KEY
atmega328pau,ATmega328P-AU,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/atmega328p-au.pdf,MPN_KEY
rp2040,RP2040,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/C2040.pdf,C_KEY
w25q128jvsiq,W25Q128JVSIQ,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/w25q128jvsiq.pdf,MPN_KEY
ao3400a,AO3400A,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/ao3400a.pdf,MPN_KEY
ao3401a,AO3401A,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/ao3401a.pdf,MPN_KEY
2n7002,2N7002,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/2n7002.pdf,MPN_KEY
1n4148ws,1N4148WS,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/1n4148ws.pdf,MPN_KEY
ss34,SS34,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/ss34.pdf,MPN_KEY
rc0402fr0710kl,RC0402FR-0710KL,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/rc0402fr-0710kl.pdf,MPN_KEY
cl10b104kb8nnnc,CL10B104KB8NNNC,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/cl10b104kb8nnnc.pdf,MPN_KEY
typec31m12,TYPE-C-31-M-12,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/type-c-31-m-12.pdf,MPN_KEY
ad623arzr7,AD623ARZ-R7,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/ad623arz-r7.pdf,MPN_KEY
stm32f103cbt6,STM32F103CBT6,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/stm32f103cbt6.pdf,MPN_KEY
stm32f407vet6,STM32F407VET6,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/stm32f407vet6.pdf,MPN_KEY
adxl345bcczrl7,ADXL345BCCZ-RL7,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/adxl345bccz-rl7.pdf,MPN_KEY
lsm6ds3trc,LSM6DS3TR-C,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/lsm6ds3tr-c.pdf,MPN_KEY
tps54331dr,TPS54331DR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/tps54331dr.pdf,MPN_KEY
stm32f103rct6,STM32F103RCT6,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/stm32f103rct6.pdf,MPN_KEY
lsm6dsltr,LSM6DSLTR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/lsm6dsltr.pdf,MPN_KEY
adum1201arzrl7,ADUM1201ARZ-RL7,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/adum1201arz-rl7.pdf,MPN_KEY
grm21br61h106ke43l,GRM21BR61H106KE43L,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/grm21br61h106ke43l.pdf,MPN_KEY
adm2587ebrwzreel7,ADM2587EBRWZ-REEL7,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/C12081.pdf,C_KEY
sn65hvd230dr,SN65HVD230DR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/sn65hvd230dr.pdf,MPN_KEY
lm5116mhxnopb,LM5116MHX/NOPB,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/lm5116mhx-nopb.pdf,MPN_KEY
grm31cr71e106ka12l,GRM31CR71E106KA12L,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/grm31cr71e106ka12l.pdf,MPN_KEY
uln2003adr,ULN2003ADR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/uln2003adr.pdf,MPN_KEY
tps5430ddar,TPS5430DDAR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/tps5430ddar.pdf,MPN_KEY
ads1115idgsr,ADS1115IDGSR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/ads1115idgsr.pdf,MPN_KEY
vl53l0cxv0dh1,VL53L0CXV0DH/1,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/vl53l0cxv0dh-1.pdf,MPN_KEY
vl53l1cxv0fy1,VL53L1CXV0FY/1,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/vl53l1cxv0fy-1.pdf,MPN_KEY
lsm303agrtr,LSM303AGRTR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/lsm303agrtr.pdf,MPN_KEY
ads1220ipwr,ADS1220IPWR,https://pub-fd1103d4aed04a7c9cbf10d74caaaade.r2.dev/datasheets/ads1220ipwr.pdf,MPN_KEY
