raw_name,canonical_brand,manufacturer_id,status,tier,match_method
顺翔诺,顺翔诺,MFR-03829,review,A,new
HEGA(和佳),HEGA(和佳),MFR-01160,candidate,B,new
APPCON(安美通),APPCON(安美通),MFR-00110,candidate,B,new
Applied Power(应能微),Applied Power(应能微),MFR-00214,candidate,B,new
AIPULNION(爱浦电子),AIPULNION(爱浦电子),MFR-00047,candidate,B,new
AMASS(艾迈斯),AMASS(艾迈斯),MFR-00067,candidate,B,new
ALIENTEK(正点原子),ALIENTEK(正点原子),MFR-00060,candidate,B,new
AMICCOM(笙科),AMICCOM(笙科),MFR-00075,candidate,B,new
Aptiv(Delphi),Aptiv(Delphi),MFR-00215,candidate,B,new
AISHI(艾华集团),AISHI(艾华集团),MFR-00051,candidate,B,new
ADAM TECH,ADAM TECH,MFR-00024,candidate,B,new
AmagicTech(迈巨微),AmagicTech(迈巨微),MFR-00184,candidate,B,new
AP&T(安平),AP&T(安平),MFR-00099,candidate,B,new
Agertech(艾吉芯),Agertech(艾吉芯),MFR-00165,candidate,B,new
AMPCOM(安普康),AMPCOM(安普康),MFR-00080,candidate,B,new
艾德克斯,艾德克斯,MFR-03793,candidate,B,new
Anaren(安伦),Anaren(安伦),MFR-00203,candidate,B,new
Acconeer,Acconeer,MFR-00152,candidate,B,new
ALCOR MICRO(安国国际),ALCOR MICRO(安国国际),MFR-00058,candidate,B,new
ABLIC(艾普凌科),ABLIC(艾普凌科),MFR-00018,candidate,B,new
ATTEN(安泰信),ATTEN(安泰信),MFR-00139,candidate,B,new
Allystar(华大北斗),Allystar(华大北斗),MFR-00177,candidate,B,new
AKASEL(阿喀尔),AKASEL(阿喀尔),MFR-00053,candidate,B,new
AKM,AKM,MFR-00055,review,A,new
aigo(爱国者),aigo(爱国者),MFR-03419,candidate,B,new
Alfa(中科阿尔法),Alfa(中科阿尔法),MFR-00171,candidate,B,new
Attend Technology,Attend Technology,MFR-00232,candidate,B,new
Autonics(奥托尼克斯),Autonics(奥托尼克斯),MFR-00240,candidate,B,new
Autec Power Systems,Autec Power Systems,MFR-00237,candidate,B,new
Anderson Power(安德森),Anderson Power(安德森),MFR-00204,candidate,B,new
AOSVI(奥斯微),AOSVI(奥斯微),MFR-00096,candidate,B,new
AZ Displays,AZ Displays,MFR-00147,candidate,B,new
AKER(安碁科技),AKER(安碁科技),MFR-00054,candidate,B,new
AIDE(爱迪电容),AIDE(爱迪电容),MFR-00042,candidate,B,new
AMPROBE,AMPROBE,MFR-00081,candidate,B,new
ANTENNA SPECIALISTS,ANTENNA SPECIALISTS,MFR-00091,candidate,B,new
ATI(恒光),ATI(恒光),MFR-00134,candidate,B,new
AM(安美),AM(安美),MFR-00066,candidate,B,new
ALPHA ELECTRONICS,ALPHA ELECTRONICS,MFR-00064,candidate,B,new
Amp'ed RF Technology,Amp'ed RF Technology,MFR-00192,candidate,B,new
AMI SEMICONDUCTOR,AMI SEMICONDUCTOR,MFR-00074,candidate,B,new
Aceinna,Aceinna,MFR-00153,candidate,B,new
