supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
LCSC,C116490,MCP6001T-I/OT,Microchip Technology,MCP6001T-I/OT,Microcontroller,MCP6001/2/4 系列运算放大器专门为通用应用而设计。该系列的增益带宽积（GBWP）为 1 MHz，相位裕度典型值为 90°。在连接 500 pF 容性负载时，其相位裕度典型值仍能保持在 45°,,,In Stock,1.6405
LCSC,C7377,MCP6002T-I/SN,Microchip Technology,MCP6002T-I/SN,Microcontroller,双低功耗轨对轨运算放大器,,,In Stock,1.8119
LCSC,C38695,TJA1051T/3/1J,NXP Semiconductors,TJA1051T/3/1J,Microcontroller,TJA1051是一款高速CAN收发器，用于在控制器局域网（CAN）协议控制器与物理双线CAN总线之间提供接口。该收发器专为汽车行业的高速CAN应用而设计，可为带有CAN协议控制器的微控制器提供差分发送和接收功能,,,In Stock,3.51
LCSC,C6952,"TJA1050T/CM,118",NXP Semiconductors,"TJA1050T/CM,118",Microcontroller,是控制器局域网（CAN）协议控制器和物理总线之间的接口。主要用于高速汽车应用，波特率从60 kbaud到1 Mbaud。为总线提供差分传输能力，为CAN协议控制器提供差分接收能力。完全符合“ISO 11898”标准。,,,In Stock,5.8
LCSC,C60490,RC0402FR-0710KL,Yageo,RC0402FR-0710KL,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,In Stock,0.0227
LCSC,C98220,RC0603FR-0710KL,Yageo,RC0603FR-0710KL,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,In Stock,0.0301
LCSC,C844918,CRCW060310K0FKEA,Vishay Intertechnology,CRCW060310K0FKEA,Resistor,标准厚膜贴片电阻适用于对高可靠性和稳定性有较高要求的现代电子领域。,,,In Stock,0.0295
LCSC,C10487,SI2301CDS-T1-GE3,Vishay Intertechnology,SI2301CDS-T1-GE3,MOSFET,特性：无卤，符合IEC 61249-2-21定义。 TrenchFET功率MOSFET。 符合RoHS指令2002/95/EC。应用：负载开关,,,In Stock,0.5821
LCSC,C259786,430300001,Molex,430300001,USB Connectors,Micro-Fit 3.0 压接端子，母头，镀锡（Sn）磷青铜触点，24 - 20 AWG，卷装,,,In Stock,0.0905
LCSC,C696092,532610471,Molex,532610471,USB Connectors,间距1.25mm，PicoBlade PCB 排针，单排，直角，表面贴装，镀锡（Sn），摩擦锁，4 路，本色，卷带包装,,,In Stock,1.0217
