supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
HQEW,HQ-MCU-001,STM32F030C8T6,STMicroelectronics,STM32F030 Cortex-M0 MCU,Microcontroller,STM32F030 48MHz 64KB,Clock Speed: 48MHz; Program Memory: 64KB; SRAM Size: 8KB; Core: ARM Cortex-M0,https://www.st.com,7300,1.10
HQEW,HQ-MCU-002,CH32F103C8T6,WCH,CH32F103 ARM MCU,Microcontroller,CH32F103 72MHz 64KB,Clock Speed: 72MHz; Flash Memory: 64KB; SRAM Size: 20KB; Core: ARM Cortex-M3,https://www.wch.cn,4200,0.95
HQEW,HQ-MCU-003,GD32E230C8T6,GigaDevice Semiconductor,GD32E230 ARM MCU,Microcontroller,GD32E230 72MHz 64KB,Clock Speed: 72MHz; Flash Memory: 64KB; SRAM Size: 8KB; Core: ARM Cortex-M23,https://www.gigadevice.com,3800,1.05
HQEW,HQ-MCU-004,N76E003AT20,Nuvoton Technology,N76E003 8051 MCU,Microcontroller,N76E003 16MHz 18KB,Clock Speed: 16MHz; Program Memory: 18KB; SRAM Size: 1KB; Core: 8051,https://www.nuvoton.com,9200,0.45
HQEW,HQ-MCU-005,HC89S003F4,Hanxin,HC89S003 8051 MCU,Microcontroller,HC89S003 24MHz 8KB,Clock Speed: 24MHz; Flash Memory: 8KB; SRAM Size: 256B; Core: 8051,https://www.hanxin.com,11000,0.30
HQEW,HQ-MOS-001,STP75NF75,STMicroelectronics,STP75NF75 MOSFET,MOSFET,STP75NF75 N-Ch 75V 80A,Drain Source Voltage: 75V; Continuous Drain Current: 80A; On Resistance: 10mΩ,https://www.st.com,3300,0.55
HQEW,HQ-MOS-002,IRFZ44N,Infineon Technologies,IRFZ44N MOSFET,MOSFET,IRFZ44N N-Ch 55V 49A,Drain Source Voltage: 55V; Continuous Drain Current: 49A; On Resistance: 17.5mΩ,https://www.infineon.com,6800,0.38
HQEW,HQ-MOS-003,IRF3205,Infineon Technologies,IRF3205 MOSFET,MOSFET,IRF3205 N-Ch 55V 110A,Drain Source Voltage: 55V; Continuous Drain Current: 110A; On Resistance: 8mΩ,https://www.infineon.com,5900,0.49
HQEW,HQ-MOS-004,AO4407A,Alpha & Omega Semiconductor,AO4407 P-MOSFET,MOSFET,AO4407A P-Ch 30V 12A,Drain Source Voltage: 30V; Continuous Drain Current: 12A; On Resistance: 13mΩ,https://www.aosmd.com,12400,0.08
HQEW,HQ-MOS-005,BSS138,ON Semiconductor,BSS138 MOSFET,MOSFET,BSS138 N-Ch 50V 220mA,Drain Source Voltage: 50V; Continuous Drain Current: 0.22A,https://www.onsemi.com,8800,0.06
HQEW,HQ-PAS-001,RC0805JR-0710KL,Yageo,10kΩ 0805 Resistor,Resistor,10kΩ 0805 5%,Resistance: 10kΩ; Tolerance: ±5%; Power Rating: 0.125W,https://www.yageo.com,210000,0.006
HQEW,HQ-PAS-002,CC0402KRX7R7BB102,Yageo,1nF 0402 Capacitor,Capacitor,1nF 0402 X7R,Capacitance: 1nF; Voltage Rating: 50V,https://www.yageo.com,330000,0.004
HQEW,HQ-PAS-003,RS-05K102JT,Fenghua,1kΩ 0805 Resistor,Resistor,1kΩ 0805 5%,Resistance: 1kΩ; Tolerance: ±5%; Power Rating: 0.125W,https://www.fenghua.com,180000,0.005
HQEW,HQ-PAS-004,WCM-0402-WF100N,Walsin Technology,100nF 0402 Capacitor,Capacitor,100nF 0402 X7R,Capacitance: 100nF; Voltage Rating: 16V,https://www.walsin.com,240000,0.005
HQEW,HQ-PAS-005,VDR-104-X7R,Holy Stone,100nF 0603 Capacitor,Capacitor,100nF 0603 X7R,Capacitance: 100nF; Voltage Rating: 50V,https://www.holystone.com,160000,0.007
HQEW,HQ-CON-001,PH-4P,JST,JST PH 4-pin,Pin Header,JST PH 2.0mm 4-pin,Number of Positions: 4; Pitch: 2.0mm,https://www.jst-mfg.com,50000,0.03
HQEW,HQ-CON-002,MX1.25-3P,Huaqiang,1.25mm 3-pin Header,Pin Header,1.25mm 3-pin,Number of Positions: 3; Pitch: 1.25mm,https://www.huaqiang.com,72000,0.02
HQEW,HQ-CON-003,XH-2.54-2P,Wurth Elektronik,2.54mm 2-pin Header,Pin Header,2.54mm 2-pin,Number of Positions: 2; Pitch: 2.54mm,https://www.we-online.com,40000,0.04
HQEW,HQ-CON-004,2540-1x6P,Amphenol,2.54mm 6-pin Header,Pin Header,2.54mm 6-pin,Number of Positions: 6; Pitch: 2.54mm,https://www.amphenol.com,38000,0.05
HQEW,HQ-CON-005,USBA-F-CUI,CUI,USB Type-A Receptacle,USB Connectors,USB-A 4-pin,Number of Positions: 4; Current Rating: 1.5A,https://www.cui.com,21000,0.08
HQEW,HQ-MOD-001,ESP-12F,Espressif Systems,ESP8266 Module,WiFi Modules,ESP-12F 802.11b/g/n,Clock Speed: 80MHz; Operating Voltage: 3.0-3.6V,https://www.espressif.com,16000,1.05
HQEW,HQ-MOD-002,Air724UG,Quectel,4G Cat.1 Module,Cellular Modules,Air724UG LTE Cat.1,Operating Voltage: 3.3-4.3V; Data Rate: 10Mbps,https://www.quectel.com,6500,4.20
HQEW,HQ-MOD-003,SIM7000C,SIMCom,NB-IoT Module,Cellular Modules,SIM7000C NB-IoT,Operating Voltage: 3.4-4.2V; Output Power: 23dBm,https://www.simcom.com,5800,3.80
HQEW,HQ-MOD-004,ESP32-C3-WROOM,Espressif Systems,RISC-V WiFi Module,WiFi Modules,ESP32-C3 RISC-V WiFi,Clock Speed: 160MHz; Core: RISC-V; Operating Voltage: 3.0-3.6V,https://www.espressif.com,19000,2.10
HQEW,HQ-MOD-005,ATGM336H,MysterySemi,GNSS Module,GNSS Modules,ATGM336H GPS,Operating Voltage: 3.3V; Sensitivity: -165dBm,https://www.mysterysemi.com,8000,2.50
