supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
LCSC,C25804,STM32F103C8T6,STMicroelectronics,STM32F103C8T6 ARM Cortex-M3 MCU,Microcontroller,STM32 ARM Cortex-M3 72MHz 64KB LQFP48,Clock Speed: 72MHz; Program Memory: 64KB; SRAM Size: 20KB; Core: ARM Cortex-M3; Operating Voltage: 2.0-3.6V,https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,12000,1.85
LCSC,C2908868,CH32V003F4P6,WCH,CH32V003 RISC-V MCU,Microcontroller,CH32 RISC-V 48MHz 16KB,Clock Speed: 48MHz; Flash Memory: 16KB; SRAM Size: 2KB; Core: RISC-V; Operating Voltage: 3.3-5V,https://www.wch.cn/download/CH32V003DS0_PDF.html,5300,0.62
LCSC,C80264,STM8S003F3P6,STMicroelectronics,STM8S003 8-bit MCU,Microcontroller,STM8 8-bit 16MHz 8KB,Clock Speed: 16MHz; Program Memory: 8KB; SRAM Size: 1KB; Core: STM8; Operating Voltage: 2.95-5.5V,https://www.st.com/resource/en/datasheet/stm8s003f3.pdf,9100,0.58
LCSC,C15127,AO3400A,Alpha & Omega Semiconductor,AO3400 N-MOSFET,MOSFET,AO3400 N-Ch 30V 4A SOT23,Drain Source Voltage: 30V; Gate Threshold Voltage: 1.2V; Continuous Drain Current: 4A; On Resistance: 50mΩ; Gate Charge: 6nC,https://www.aosmd.com/products/mosfets/AO3400A,33000,0.05
LCSC,C7724,IRF540N,Infineon Technologies,IRF540N N-MOSFET,MOSFET,IRF540N N-Ch 100V 33A TO220,Drain Source Voltage: 100V; Gate Threshold Voltage: 2-4V; Continuous Drain Current: 33A; On Resistance: 44mΩ,https://www.infineon.com/dgdl/irf540n.pdf,12000,0.42
LCSC,C20918,STP55NF06L,STMicroelectronics,STP55NF06L N-MOSFET,MOSFET,STP55NF06L N-Ch 60V 55A,Drain Source Voltage: 60V; Continuous Drain Current: 55A; On Resistance: 14mΩ,https://www.st.com/resource/en/datasheet/stp55nf06l.pdf,5400,0.65
LCSC,C11396,2N7002,ON Semiconductor,2N7002 N-MOSFET,MOSFET,2N7002 N-Ch 60V 115mA SOT23,Drain Source Voltage: 60V; Gate Threshold Voltage: 2.5V; Continuous Drain Current: 0.115A,https://www.onsemi.com/pdf/datasheet/nds7002a-d.pdf,45000,0.02
LCSC,C15129,SI2302,Vishay Intertechnology,SI2302 N-MOSFET,MOSFET,SI2302 N-Ch 20V 3A SOT23,Drain Source Voltage: 20V; Continuous Drain Current: 3A; On Resistance: 60mΩ,https://www.vishay.com/docs/73277/si2302.pdf,28000,0.04
LCSC,C25824,RC0805JR-0710KL,Yageo,10kΩ 0805 Resistor,Resistor,10kΩ ±1% 0805 Thick Film,Resistance: 10kΩ; Tolerance: ±1%; Power Rating: 0.125W; Temperature Coefficient: ±100ppm/°C,https://www.yageo.com/products/resistors/,520000,0.008
LCSC,C1525,CC0603KRX7R7BB104,Yageo,100nF 0603 Capacitor,Capacitor,100nF ±10% 50V X7R 0603,Capacitance: 100nF; Voltage Rating: 50V; Tolerance: ±10%,https://www.yageo.com/products/capacitors/,480000,0.006
LCSC,C1650,GRM188R71C104KA01,Murata Manufacturing,100nF 0603 Capacitor,Capacitor,100nF 50V X7R 0603,Capacitance: 0.1uF; Voltage Rating: 50V,https://www.murata.com,310000,0.012
LCSC,C1287,LQG15HN1N8S0M,Murata Manufacturing,1.8nH RF Inductor,Inductor,1.8nH 0402 RF Inductor,Inductance: 1.8nH,https://www.murata.com,95000,0.15
LCSC,C15850,CC0805KKX7R7BB104,Yageo,100nF 0805 Capacitor,Capacitor,100nF X7R 0805,Capacitance: 100nF; Voltage Rating: 50V,https://www.yageo.com,260000,0.009
LCSC,C5181277,0483740001,Molex,USB Type-C Receptacle,USB Connectors,USB-C 16pin Receptacle,Number of Positions: 16; Current Rating: 5A; Operating Voltage: 20V,https://www.molex.com,15000,0.35
LCSC,C23174,PZ254-1-40P,Wurth Elektronik,2.54mm Pin Header,Pin Header,2.54mm 1x40 Pin Header,Number of Positions: 40; Pitch: 2.54mm,https://www.we-online.com,32000,0.18
LCSC,C23392,B4B-PH-K-S,JST,JST PH 4-pin Header,Pin Header,JST PH 2.0mm 4-pin,Number of Positions: 4; Pitch: 2.0mm,https://www.jst-mfg.com,60000,0.05
LCSC,C1013,10103594,Amphenol,Micro USB B Receptacle,USB Connectors,Micro USB B 5-pin,Number of Positions: 5; Current Rating: 1A,https://www.amphenol.com,22000,0.12
LCSC,C21357,DF11-8DP-2DS,Hirose Electric,2.0mm 8-pin Header,Pin Header,Hirose 2.0mm 8-pin,Number of Positions: 8; Pitch: 2.0mm,https://www.hirose.com,11000,0.22
LCSC,C82899,ESP-01S,Espressif Systems,ESP-01S WiFi Module,WiFi Modules,ESP8266 802.11b/g/n Module,Clock Speed: 80MHz; Data Rate: 72Mbps; Operating Voltage: 3.0-3.6V,https://www.espressif.com,18000,1.20
LCSC,C82861,nRF24L01+,Nordic Semiconductor,2.4GHz RF Module,RF Modules,nRF24L01+ 2.4GHz Transceiver,Operating Voltage: 1.9-3.6V; Data Rate: 2Mbps,https://www.nordicsemi.com,26000,0.85
