supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
LCSC,C25804,STM32F103C8T6,STMicroelectronics,STM32F103C8T6 ARM Cortex-M3 MCU,Microcontroller,STM32 ARM Cortex-M3 72MHz 64KB LQFP48,Clock Speed: 72MHz; Program Memory: 64KB; SRAM Size: 20KB; Core: ARM Cortex-M3; Operating Voltage: 2.0-3.6V,https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,12000,1.85
LCSC,C51954,GD32F103C8T6,GigaDevice Semiconductor,GD32F103C8T6 ARM MCU,Microcontroller,GD32 ARM Cortex-M3 108MHz 64KB,Clock Speed: 108MHz; Flash Memory: 64KB; SRAM Size: 20KB; Core: ARM Cortex-M3; Operating Voltage: 2.6-3.6V,https://www.gigadevice.com/datasheet/gd32f103/,8500,1.42
LCSC,C2908868,CH32V003F4P6,WCH,CH32V003 RISC-V MCU,Microcontroller,CH32 RISC-V 48MHz 16KB,Clock Speed: 48MHz; Flash Memory: 16KB; SRAM Size: 2KB; Core: RISC-V; Operating Voltage: 3.3-5V,https://www.wch.cn/download/CH32V003DS0_PDF.html,5300,0.62
LCSC,C117039,ATMEGA328P-AU,Microchip Technology,ATMEGA328P AVR MCU,Microcontroller,AVR 8-bit 20MHz 32KB,Clock Speed: 20MHz; Program Memory: 32KB; SRAM Size: 2KB; Core: AVR; Operating Voltage: 1.8-5.5V,https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328P.pdf,6700,1.95
LCSC,C80264,STM8S003F3P6,STMicroelectronics,STM8S003 8-bit MCU,Microcontroller,STM8 8-bit 16MHz 8KB,Clock Speed: 16MHz; Program Memory: 8KB; SRAM Size: 1KB; Core: STM8; Operating Voltage: 2.95-5.5V,https://www.st.com/resource/en/datasheet/stm8s003f3.pdf,9100,0.58
LCSC,C15127,AO3400A,Alpha & Omega Semiconductor,AO3400 N-MOSFET,MOSFET,AO3400 N-Ch 30V 4A SOT23,Drain Source Voltage: 30V; Gate Threshold Voltage: 1.2V; Continuous Drain Current: 4A; On Resistance: 50mΩ; Gate Charge: 6nC,https://www.aosmd.com/products/mosfets/AO3400A,33000,0.05
LCSC,C7724,IRF540N,Infineon Technologies,IRF540N N-MOSFET,MOSFET,IRF540N N-Ch 100V 33A TO220,Drain Source Voltage: 100V; Gate Threshold Voltage: 2-4V; Continuous Drain Current: 33A; On Resistance: 44mΩ,https://www.infineon.com/dgdl/irf540n.pdf,12000,0.42
LCSC,C20918,STP55NF06L,STMicroelectronics,STP55NF06L N-MOSFET,MOSFET,STP55NF06L N-Ch 60V 55A,Drain Source Voltage: 60V; Continuous Drain Current: 55A; On Resistance: 14mΩ,https://www.st.com/resource/en/datasheet/stp55nf06l.pdf,5400,0.65
LCSC,C11396,2N7002,ON Semiconductor,2N7002 N-MOSFET,MOSFET,2N7002 N-Ch 60V 115mA SOT23,Drain Source Voltage: 60V; Gate Threshold Voltage: 2.5V; Continuous Drain Current: 0.115A,https://www.onsemi.com/pdf/datasheet/nds7002a-d.pdf,45000,0.02
LCSC,C15129,SI2302,Vishay Intertechnology,SI2302 N-MOSFET,MOSFET,SI2302 N-Ch 20V 3A SOT23,Drain Source Voltage: 20V; Continuous Drain Current: 3A; On Resistance: 60mΩ,https://www.vishay.com/docs/73277/si2302.pdf,28000,0.04
