supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
Mouser,MOU-500-00000,MCU50000000,GigaDevice Semiconductor,GigaDevice Semiconductor MCU50000000 Microcontroller,Microcontroller,MCU50000000 Microcontroller from GigaDevice Semiconductor. Sourced via professional procurement support; specs below.,ram_bytes: 20480; io_count: 48; Operating Voltage: 3.3V; voltage_v: 3.3,https://example.com/datasheet/MCU50000000.pdf,3016,7.7674
Mouser,MOU-500-00001,MOS50000001,Infineon Technologies,Infineon Technologies MOS50000001 MOSFET,MOSFET,MOS50000001 MOSFET from Infineon Technologies. Sourced via professional procurement support; specs below.,id_a: 30; rds_on_mohm: 8; vds_v: 55,https://example.com/datasheet/MOS50000001.pdf,348,17.9524
Digikey,DIG-500-00002,RES50000002,Yageo,Yageo RES50000002 Resistor,Resistor,RES50000002 Resistor from Yageo. Sourced via professional procurement support; specs below.,Resistor Value: 10kΩ; temperature_coeff: X7R; package: 0805; resistance_ohm: 10000; power_rating_w: 0.25,https://example.com/datasheet/RES50000002.pdf,3713,7.2515
Hanxin,HAN-500-00003,CAP50000003,TDK Corporation,TDK Corporation CAP50000003 Capacitor,Capacitor,CAP50000003 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,tolerance: ±10%; package: 0603,https://example.com/datasheet/CAP50000003.pdf,2963,0.3365
Hanxin,HAN-500-00004,IND50000004,Wurth Elektronik,Wurth Elektronik IND50000004 Inductor,Inductor,IND50000004 Inductor from Wurth Elektronik. Sourced via professional procurement support; specs below.,inductance_uh: 4.7; current_rating_a: 1.5,https://example.com/datasheet/IND50000004.pdf,4829,21.8834
Mouser,MOU-500-00005,SEN50000005,NXP Semiconductors,NXP Semiconductors SEN50000005 Sensors,Sensors,SEN50000005 Sensors from NXP Semiconductors. Sourced via professional procurement support; specs below.,resolution_bits: 12; sensitivity: 260 LSB/g; range: 0-40; interface: I2C; accuracy: ±0.5; Output Type: Analog,https://example.com/datasheet/SEN50000005.pdf,3701,14.3890
LCSC,LCS-500-00006,CON50000006,Hirose Electric,Hirose Electric CON50000006 Connectors,Connectors,CON50000006 Connectors from Hirose Electric. Sourced via professional procurement support; specs below.,mounting: SMD; positions: 40; voltage_rating_v: 50; current_rating_a: 3,https://example.com/datasheet/CON50000006.pdf,415,15.5114
LCSC,LCS-500-00007,MOD50000007,Espressif Systems,Espressif Systems MOD50000007 Modules,Modules,MOD50000007 Modules from Espressif Systems. Sourced via professional procurement support; specs below.,modulation: GFSK; data_rate_bps: 2000000; Data Rate: 2Mbps; output_power_dbm: 20,https://example.com/datasheet/MOD50000007.pdf,4996,12.3239
Hanxin,HAN-500-00008,OPA50000008,Maxim Integrated,Maxim Integrated OPA50000008 Analog IC,Analog IC,OPA50000008 Analog IC from Maxim Integrated. Sourced via professional procurement support; specs below.,supply_current_ua: 200; bandwidth_hz: 1000000; gain_db: 100; package: SOIC-8; Input Noise: 10nV,https://example.com/datasheet/OPA50000008.pdf,1140,18.7886
LCSC,LCS-500-00009,PMIC50000009,Richtek Technology,Richtek Technology PMIC50000009 Power Management IC,Power Management IC,PMIC50000009 Power Management IC from Richtek Technology. Sourced via professional procurement support; specs below.,efficiency_percent: 92; voltage_out_v: 5,https://example.com/datasheet/PMIC50000009.pdf,2844,14.1785
