mpn,brand,reason,detail
RES100000002,Yageo,unknown_attribute_key=MTBF Hours,
CAP100000003,TDK Corporation,unknown_attribute_key=Ripple Current,
MOD100000007,u-blox,unknown_attribute_key=Antenna Type,
LED100000011,Kingbright,unknown_attribute_key=Luminous Intensity,
XTAL100000013,OscInc,unknown_manufacturer,
MCU100000014,Nuvoton Technology,unknown_attribute_key=Operating Temp,
MOS100000015,HexaFab,unknown_attribute_key=Gate Charge Type,
MOS100000015,HexaFab,unknown_manufacturer,
RES100000016,OhmWorks,unknown_manufacturer,
OPA100000022,Maxim Integrated,unknown_attribute_key=Input Noise,
XTAL100000027,AbraconX,unknown_manufacturer,
SEN100000033,NXP Semiconductors,unknown_attribute_key=Response Time,
CON100000034,LinkFab,unknown_manufacturer,
SEN100000047,BoschDummy,unknown_manufacturer,
MOD100000049,u-blox,unknown_attribute_key=Antenna Type,
XTAL100000055,AbraconX,unknown_manufacturer,
MOS100000057,,missing_manufacturer,
RES100000058,Yageo,unknown_attribute_key=Lifecycle Status,
CAP100000059,DeltaCap,unknown_manufacturer,
CON100000062,LinkFab,unknown_manufacturer,
PMIC100000065,PowerLite,unknown_manufacturer,
DIO100000066,ON Semiconductor,unknown_attribute_key=Reverse Recovery,
LED100000067,OSRAM,unknown_attribute_key=Luminous Intensity,
CON100000076,Hirose Electric,unknown_attribute_key=Contact Plating,
OPA100000078,Analog Devices,unknown_attribute_key=Input Noise,
LED100000081,PhotonInc,unknown_manufacturer,
MCU100000084,QubitCore,unknown_manufacturer,
SEN100000089,BoschDummy,unknown_attribute_key=Output Type,
SEN100000089,BoschDummy,unknown_manufacturer,
LED100000095,LedWorks,unknown_manufacturer,
MOS100000099,Vishay Intertechnology,unknown_attribute_key=Gate Charge Type,
LED100000109,Everlight Electronics,unknown_attribute_key=Luminous Intensity,
MCU100000112,QubitCore,unknown_attribute_key=Thermal Resistance,
MCU100000112,QubitCore,unknown_manufacturer,
SEN100000117,BoschDummy,unknown_manufacturer,
DIO100000122,Littelfuse,unknown_attribute_key=Reverse Recovery,
LED100000123,OSRAM,unknown_attribute_key=Luminous Intensity,
MEM100000124,ISSI,unknown_attribute_key=Access Time,
XTAL100000125,Wurth Elektronik,unknown_attribute_key=Frequency Tolerance,
CON100000132,ConnX,unknown_manufacturer,
LED100000137,,missing_manufacturer,
XTAL100000139,AbraconX,unknown_manufacturer,
MCU100000140,AcmeSemi,unknown_manufacturer,
RES100000142,Vishay Intertechnology,unknown_attribute_key=MTBF Hours,
XTAL100000153,AbraconX,unknown_manufacturer,
CAP100000157,SigmaStore,unknown_manufacturer,
IND100000158,CoilWorks,unknown_manufacturer,
MEM100000166,MemCore,unknown_manufacturer,
MOS100000169,,missing_manufacturer,
SEN100000173,BoschDummy,unknown_manufacturer,
MOD100000175,u-blox,unknown_attribute_key=Antenna Type,
LED100000179,OSRAM,unknown_attribute_key=Luminous Intensity,
