mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
MCU50000000,MCU50000000,GigaDevice Semiconductor,GigaDevice Semiconductor,mcu50000000,Microcontroller,Microcontroller,MCU50000000 Microcontroller from GigaDevice Semiconductor. Sourced via professional procurement support; specs below.,,,"{""ram_bytes"": ""20480"", ""io_count"": ""48"", ""voltage_v"": ""3.3""}",active,,https://example.com/datasheet/MCU50000000.pdf,,
MOS50000001,MOS50000001,Infineon Technologies,Infineon Technologies,mos50000001,MOSFET,MOSFET,MOS50000001 MOSFET from Infineon Technologies. Sourced via professional procurement support; specs below.,,,"{""id_a"": ""30"", ""rds_on_mohm"": ""8"", ""vds_v"": ""55""}",active,,https://example.com/datasheet/MOS50000001.pdf,,
RES50000002,RES50000002,Yageo,Yageo,res50000002,Resistor,Resistor,RES50000002 Resistor from Yageo. Sourced via professional procurement support; specs below.,,,"{""resistance_ohm"": ""10000"", ""temperature_coeff"": ""X7R"", ""package"": ""0805"", ""power_rating_w"": ""0.25""}",active,,https://example.com/datasheet/RES50000002.pdf,,
CAP50000003,CAP50000003,TDK Corporation,TDK Corporation,cap50000003,Capacitor,Capacitor,CAP50000003 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""tolerance"": ""±10%"", ""package"": ""0603""}",active,,https://example.com/datasheet/CAP50000003.pdf,,
IND50000004,IND50000004,Wurth Elektronik,Wurth Elektronik,ind50000004,Inductor,Inductor,IND50000004 Inductor from Wurth Elektronik. Sourced via professional procurement support; specs below.,,,"{""inductance_uh"": ""4.7"", ""current_rating_a"": ""1.5""}",active,,https://example.com/datasheet/IND50000004.pdf,,
SEN50000005,SEN50000005,NXP Semiconductors,NXP Semiconductors,sen50000005,Sensors,Sensors,SEN50000005 Sensors from NXP Semiconductors. Sourced via professional procurement support; specs below.,,,"{""resolution_bits"": ""12"", ""sensitivity_dbm"": ""260 LSB/g"", ""range"": ""0-40"", ""interface"": ""I2C"", ""accuracy"": ""±0.5"", ""Output Type"": ""Analog""}",active,,https://example.com/datasheet/SEN50000005.pdf,,
CON50000006,CON50000006,Hirose Electric,Hirose Electric,con50000006,Connectors,Connectors,CON50000006 Connectors from Hirose Electric. Sourced via professional procurement support; specs below.,,,"{""mounting"": ""SMD"", ""positions"": ""40"", ""voltage_rating_v"": ""50"", ""current_rating_a"": ""3""}",active,,https://example.com/datasheet/CON50000006.pdf,,
MOD50000007,MOD50000007,Espressif Systems,Espressif Systems,mod50000007,Modules,Modules,MOD50000007 Modules from Espressif Systems. Sourced via professional procurement support; specs below.,,,"{""modulation"": ""GFSK"", ""data_rate_bps"": ""2Mbps"", ""output_power_dbm"": ""20""}",active,,https://example.com/datasheet/MOD50000007.pdf,,
OPA50000008,OPA50000008,Maxim Integrated,Maxim Integrated,opa50000008,Analog IC,Analog IC,OPA50000008 Analog IC from Maxim Integrated. Sourced via professional procurement support; specs below.,,,"{""supply_current_ua"": ""200"", ""bandwidth_hz"": ""1000000"", ""gain_db"": ""100"", ""package"": ""SOIC-8"", ""Input Noise"": ""10nV""}",active,,https://example.com/datasheet/OPA50000008.pdf,,
PMIC50000009,PMIC50000009,Richtek Technology,Richtek Technology,pmic50000009,Power Management IC,Power Management IC,PMIC50000009 Power Management IC from Richtek Technology. Sourced via professional procurement support; specs below.,,,"{""efficiency_percent"": ""92"", ""voltage_out_v"": ""5""}",active,,https://example.com/datasheet/PMIC50000009.pdf,,
